user,field_office,i-485 receipt date,interview date,i-130 approval date,i-485 approval date,receipt to interview,interview to i130,interview to i485,i130 to i485,days since interview,days total,case closed,days | CASE CLOSED == YES,days | CASE CLOSED == NO,days since interview | CASE CLOSED == YES,days since interview | CASE CLOSED == NO
IcyStaff532,Raleigh/Durham,05-15-2023,07-08-2025,07-15-2025,07-26-2025,785,7,18,11,18,803,YES,803,,18,
Frosty_Ad3742,Raleigh/Durham,04-15-2024,07-15-2025,07-16-2025,07-16-2025,456,1,1,0,1,457,YES,457,,1,
Haunting_Hand_3357,Raleigh/Durham,08-30-2024,09-26-2024,?,04-04-2025,27,?,190,?,190,217,YES,217,,190,
Fancy_Challenge768,Raleigh/Durham,09-15-2024,04-29-2025,04-30-2025,04-30-2025,226,1,1,0,1,227,YES,227,,1,
Winter_Ad_6566,Raleigh/Durham,09-30-2024,04-29-2025,04-30-2025,05-09-2025,211,1,10,9,10,221,YES,221,,10,
Warm-Park-4090,Raleigh/Durham,10-08-2024,05-29-2025,05-29-2025,06-12-2025,233,0,14,14,14,247,YES,247,,14,
Longjumping_Ant3459,Raleigh/Durham,10-15-2024,05-15-2025,05-15-2025,06-29-2025,212,0,45,45,45,257,YES,257,,45,
Haunting-Walk-1156,Raleigh/Durham,11-01-2024,06-03-2025,06-03-2025,06-04-2025,214,0,1,1,1,215,YES,215,,1,
SalinasJ88,Raleigh/Durham,12-17-2024,06-23-2025,?,06-24-2025,188,?,1,?,1,189,YES,189,,1,
Various_Mango9161,Raleigh/Durham,02-04-2025,09-17-2025,09-17-2025,09-17-2025,225,0,0,0,0,225,YES,225,,0,
CanLow8636,Raleigh/Durham,04-07-2025,07-07-2025,07-08-2025,07-08-2025,91,1,1,0,1,92,YES,92,,1,
Comfortable-Math-552,Raleigh/Durham,04-29-2025,10-09-2025,10-10-2025,10-10-2025,163,1,1,0,1,164,YES,164,,1,
Prestigious-Cold-728,Raleigh/Durham,05-14-2025,10-16-2025,?,10-17-2025,155,?,1,?,1,156,YES,156,,1,
saladgirrrl,Raleigh/Durham,05-15-2025,10-09-2025,?,10-25-2025,147,?,16,?,16,163,YES,163,,16,
mikeobs97,Raleigh/Durham,05-20-2025,10-20-2025,10-21-2025,10-21-2025,153,1,1,0,1,154,YES,154,,1,
Ok_Entertainer8924,Raleigh/Durham,06-23-2025,09-08-2025,09-09-2025,11-10-2025,77,1,63,62,63,140,YES,140,,63,
No_Breakfast_3997,Raleigh/Durham,06-30-2025,10-09-2025,?,10-10-2025,101,?,1,?,1,102,YES,102,,1,
Tall-Werewolf-5229,Raleigh/Durham,07-02-2025,12-09-2025,12-10-2025,12-18-2025,160,1,9,8,9,169,YES,169,,9,
throwawaydumbo1,Raleigh/Durham,07-12-2025,12-15-2025,N/A,FUTURE,156,N/A,?,N/A,50,206,NO,,206,,50
GrouchyFed,Raleigh/Durham,07-15-2025,11-07-2025,11-08-2025,11-08-2025,115,1,1,0,1,116,YES,116,,1,
Kommissar_Nance,Raleigh/Durham,07-24-2025,12-11-2025,12-12-2025,12-18-2025,140,1,7,6,7,147,YES,147,,7,
Available-Bread5307,Raleigh/Durham,08-05-2025,11-12-2025,11-13-2025,11-13-2025,99,1,1,0,1,100,YES,100,,1,
Responsible-Touch-91,Raleigh/Durham,08-06-2025,12-10-2025,12-14-2025,12-14-2025,126,4,4,0,4,130,YES,130,,4,
GeeWoman,Raleigh/Durham,08-26-2025,12-10-2025,12-13-2025,FUTURE,106,3,?,?,55,161,NO,,161,,55
Ecstatic-Leading-240,Raleigh/Durham,08-30-2025,12-18-2025,12-22-2025,12-24-2025,110,4,6,2,6,116,YES,116,,6,
_goto_throwaway_,Raleigh/Durham,10-02-2025,12-10-2025,12-11-2025,FUTURE,69,1,?,?,55,124,NO,,124,,55
Dizzy-Eye4312,Raleigh/Durham,10-10-2025,12-10-2025,12-13-2025,FUTURE,61,3,?,?,55,116,NO,,116,,55
Rough_Procedure1815,Raleigh/Durham,12-03-2025,01-28-2026,01-30-2026,01-30-2026,56,2,2,0,2,58,YES,58,,2,
Clear_Reading4945,Raleigh/Durham,?,11-13-2025,11-14-2025,11-14-2025,#VALUE!,1,1,0,1,#VALUE!,YES,,,1,
Ok_Internet_7401,Raleigh/Durham,04-19-2024,05-05-2025,05-15-2025,FUTURE,381,10,?,?,314,695,NO,,695,,314
ellaumbrlla,Raleigh/Durham,?,05-28-2025,05-30-2025,?,#VALUE!,2,?,?,291,#VALUE!,NO,,#VALUE!,,291
MelissaJiNa,Raleigh/Durham,10-29-2024,06-03-2025,06-04-2025,06-04-2025,217,1,1,0,1,218,YES,218,,1,
Comfortable_Pea_6522,Raleigh/Durham,01-21-2025,06-23-2025,N/A,06-24-2025,153,#VALUE!,1,#VALUE!,1,154,YES,154,,1,
